,id,indent,purchase,cummulative_indnet,cummulative_purchase,ActiveIndent,likely_to_purchased,N_Column,Failure
527,528,0,45.540000915527344,234440,208000.2608280182,0,0,0,0
528,529,0,136.6199951171875,234440,208136.88082313538,0,0,0,0
529,530,0,91.08000183105469,234440,208227.96082496643,0,0,0,0
530,531,0,341.3999938964844,234440,208569.36081886292,0,0,0,0
531,532,0,273.239990234375,234440,208842.6008090973,0,0,0,0
532,533,0,432.6300048828125,234440,209275.2308139801,0,0,0,0
533,534,0,0.0,234440,209275.2308139801,0,0,0,0
534,535,0,182.16000366210938,234440,209457.3908176422,0,0,0,0
535,536,0,0.0,234440,209457.3908176422,0,0,0,0
536,537,16920,16213.7900390625,251360,225671.1808567047,0,0,0,0
537,538,22740,19008.720703125,274100,244679.9015598297,0,0,0,0
538,539,380,580.6900024414062,274480,245260.59156227112,0,0,0,0
539,540,380,318.7799987792969,274860,245579.37156105042,0,0,0,0
540,541,0,318.7799987792969,274860,245898.1515598297,0,0,0,0
541,542,200,545.0800170898438,275060,246443.23157691956,0,0,0,0
542,543,180,432.6300048828125,275240,246875.86158180237,0,0,0,0
543,544,260,341.54998779296875,275500,247217.41156959534,0,0,0,0
544,545,400,273.239990234375,275900,247490.6515598297,0,0,0,0
545,546,360,994.9000244140625,276260,248485.55158424377,0,0,0,0
546,547,380,364.32000732421875,276640,248849.871591568,0,0,0,0
547,548,300,0.0,276940,248849.871591568,0,0,0,0
548,549,0,728.6400146484375,276940,249578.51160621643,0,0,0,0
549,550,400,0.0,277340,249578.51160621643,0,0,0,0
550,551,360,0.0,277700,249578.51160621643,0,0,0,0
551,552,360,0.0,278060,249578.51160621643,0,0,0,0
552,553,300,45.540000915527344,278360,249624.05160713196,0,0,0,0
553,554,180,227.4499969482422,278540,249851.5016040802,0,0,0,0
554,555,280,250.47000122070312,278820,250101.9716053009,0,0,0,0
555,556,280,0.0,279100,250101.9716053009,0,0,0,0
556,557,500,384.4700012207031,279600,250486.4416065216,0,0,0,0
557,558,180,0.0,279780,250486.4416065216,0,0,0,0
558,559,460,0.0,280240,250486.4416065216,0,0,0,0
559,560,0,159.38999938964844,280240,250645.83160591125,0,0,0,0
560,561,580,364.32000732421875,280820,251010.15161323547,0,0,0,0
561,562,120,45.540000915527344,280940,251055.691614151,0,0,0,0
562,563,100,0.0,281040,251055.691614151,0,0,0,0
563,564,400,227.6999969482422,281440,251283.39161109924,0,0,0,0
564,565,580,432.6300048828125,282020,251716.02161598206,0,0,0,0
565,566,380,296.010009765625,282400,252012.03162574768,0,0,0,0
566,567,280,0.0,282680,252012.03162574768,0,0,0,0
567,568,400,387.0899963378906,283080,252399.12162208557,0,0,0,0
568,569,380,364.32000732421875,283460,252763.4416294098,0,0,0,0
569,570,300,204.92999267578125,283760,252968.37162208557,0,0,0,0
570,571,400,91.05999755859375,284160,253059.43161964417,0,0,0,0
571,572,380,546.47998046875,284540,253605.91160011292,0,0,0,0
572,573,400,0.0,284940,253605.91160011292,0,0,0,0
573,574,400,364.32000732421875,285340,253970.23160743713,0,0,0,0
574,575,600,500.94000244140625,285940,254471.17160987854,0,0,0,0
575,576,560,478.1700134277344,286500,254949.34162330627,0,0,0,0
576,577,400,204.92999267578125,286900,255154.27161598206,0,0,0,0
577,578,400,0.0,287300,255154.27161598206,0,0,0,0
578,579,500,432.5799865722656,287800,255586.85160255432,0,0,0,0
579,580,500,273.239990234375,288300,255860.0915927887,0,0,0,0
580,581,400,614.739990234375,288700,256474.83158302307,0,0,0,0
581,582,360,364.32000732421875,289060,256839.1515903473,0,0,0,0
582,583,200,250.47000122070312,289260,257089.621591568,0,0,0,0
583,584,140,406.989990234375,289400,257496.61158180237,0,0,0,0
584,585,280,316.010009765625,289680,257812.621591568,0,0,0,0
585,586,160,0.0,289840,257812.621591568,0,0,0,0
586,587,180,0.0,290020,257812.621591568,0,0,0,0
587,588,380,227.6999969482422,290400,258040.32158851624,0,0,0,0
588,589,280,341.54998779296875,290680,258381.8715763092,0,0,0,0
589,590,340,341.54998779296875,291020,258723.42156410217,0,0,0,0
590,591,300,273.239990234375,291320,258996.66155433655,0,0,0,0
591,592,300,296.010009765625,291620,259292.67156410217,0,0,0,0
592,593,460,478.1700134277344,292080,259770.8415775299,0,0,0,0
593,594,360,204.92999267578125,292440,259975.7715702057,0,0,0,0
594,595,300,296.010009765625,292740,260271.7815799713,0,0,0,0
595,596,300,227.6999969482422,293040,260499.48157691956,0,0,0,0
596,597,300,273.239990234375,293340,260772.72156715393,0,0,0,0
597,598,280,250.47000122070312,293620,261023.19156837463,0,0,0,0
598,599,480,387.0899963378906,294100,261410.28156471252,0,0,0,0
599,600,280,341.54998779296875,294380,261751.8315525055,0,0,0,0
600,601,480,728.6400146484375,294860,262480.47156715393,0,0,0,0
601,602,480,250.47000122070312,295340,262730.94156837463,0,0,0,0
602,603,380,159.33999633789062,295720,262890.2815647125,0,0,0,0
603,604,380,820.4600219726562,296100,263710.7415866852,0,0,0,0
604,605,180,91.08000183105469,296280,263801.82158851624,0,0,0,0
605,606,260,432.6300048828125,296540,264234.45159339905,0,0,0,0
606,607,300,204.92999267578125,296840,264439.3815860748,0,0,0,0
607,608,300,273.239990234375,297140,264712.6215763092,0,0,0,0
608,609,300,364.32000732421875,297440,265076.9415836334,0,0,0,0
609,610,400,250.47000122070312,297840,265327.4115848541,0,0,0,0
610,611,140,113.75,297980,265441.1615848541,0,0,0,0
611,612,200,341.54998779296875,298180,265782.7115726471,0,0,0,0
612,613,300,136.6199951171875,298480,265919.3315677643,0,0,0,0
613,614,300,273.1400146484375,298780,266192.4715824127,0,0,0,0
614,615,200,0.0,298980,266192.4715824127,0,0,0,0
615,616,200,318.7799987792969,299180,266511.251581192,0,0,0,0
616,617,380,318.7799987792969,299560,266830.0315799713,0,0,0,0
617,618,160,250.47000122070312,299720,267080.501581192,0,0,0,0
618,619,300,272.70001220703125,300020,267353.20159339905,0,0,0,0
619,620,200,68.30999755859375,300220,267421.51159095764,0,0,0,0
620,621,280,0.0,300500,267421.51159095764,0,0,0,0
621,622,380,250.47000122070312,300880,267671.98159217834,0,0,0,0
622,623,400,478.1700134277344,301280,268150.1516056061,0,0,0,0
623,624,300,227.6999969482422,301580,268377.8516025543,0,0,0,0
624,625,280,318.7799987792969,301860,268696.6316013336,0,0,0,0
625,626,14760,13923.759765625,316620,282620.3913669586,0,0,0,0
626,627,20800,16856.310546875,337420,299476.7019138336,0,0,0,0
627,628,160,384.8599853515625,337580,299861.5618991852,0,0,0,0
628,629,280,250.47000122070312,337860,300112.0319004059,0,0,0,0
629,630,300,204.92999267578125,338160,300316.96189308167,0,0,0,0
630,631,200,0.0,338360,300316.96189308167,0,0,0,0
631,632,200,0.0,338560,300316.96189308167,0,0,0,0
632,633,220,296.010009765625,338780,300612.9719028473,0,0,0,0
633,634,360,341.54998779296875,339140,300954.52189064026,0,0,0,0
634,635,0,332.5400085449219,339140,301287.0618991852,0,0,0,0
635,636,280,204.92999267578125,339420,301491.99189186096,0,0,0,0
636,637,300,500.04998779296875,339720,301992.04187965393,0,0,0,0
637,638,280,0.0,340000,301992.04187965393,0,0,0,0
638,639,400,682.9000244140625,340400,302674.941904068,0,0,0,0
639,640,180,614.7899780273438,340580,303289.73188209534,0,0,0,0
640,641,220,273.239990234375,340800,303562.9718723297,0,0,0,0
641,642,360,409.8599853515625,341160,303972.8318576813,0,0,0,0
642,643,200,0.0,341360,303972.8318576813,0,0,0,0
